Columna;Especie;Origen;Altitud;Variety;método;color
220;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Green
221;Arabica;Costa Rica;1100;Catuai;Washed / Wet;Green
222;Arabica;Haiti;4200;Typica;Washed / Wet;Green
223;Arabica;Colombia;1000;Caturra;Natural / Dry;Green
224;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
225;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
226;Arabica;Mexico;1600;Typica;Washed / Wet;Blue-Green
227;Arabica;Costa Rica;1900;Catuai;Pulped natural / honey;Green
228;Arabica;Guatemala;2100;Pacas;Washed / Wet;Green
229;Arabica;Colombia;442;Caturra;Natural / Dry;Green
230;Arabica;Mexico;1261;Typica;Natural / Dry;Bluish-Green
231;Arabica;Taiwan;1000;Bourbon;Washed / Wet;Blue-Green
232;Arabica;Taiwan;800;Typica;Washed / Wet;Green
233;Arabica;Colombia;1483;Caturra;Natural / Dry;Green
234;Arabica;Guatemala;1500;Caturra;Washed / Wet;Green
235;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
236;Arabica;Mexico;1300;Bourbon;Washed / Wet;Green
237;Arabica;Mexico;1000;Caturra;Washed / Wet;Blue-Green
238;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
239;Arabica;Brazil;1200;Yellow Bourbon;Semi-washed / Semi-pulped;Blue-Green
240;Arabica;Colombia;175;Caturra;Washed / Wet;Green
241;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
242;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
243;Arabica;Guatemala;1901;Bourbon;Washed / Wet;Green
244;Arabica;Tanzania, United Republic Of;1680;Bourbon;Washed / Wet;Green
245;Arabica;Guatemala;1500;Caturra;Washed / Wet;Green
246;Arabica;Honduras;1450;Catuai;Washed / Wet;Blue-Green
247;Arabica;China;1200;Catimor;Washed / Wet;Green
248;Arabica;China;1600;Catimor;Washed / Wet;Green
249;Arabica;El Salvador;1350;Bourbon;Washed / Wet;Green
250;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
251;Arabica;Guatemala;1400;Bourbon;Washed / Wet;Green
252;Arabica;Kenya;1500;SL28;Washed / Wet;Bluish-Green
253;Arabica;Uganda;1800;SL14;Washed / Wet;Bluish-Green
254;Arabica;Honduras;1450;Catuai;Natural / Dry;Green
255;Arabica;Honduras;1350;Caturra;Natural / Dry;Green
256;Arabica;Guatemala;1524;Catuai;Washed / Wet;Green
257;Arabica;Tanzania, United Republic Of;1800;Bourbon;Washed / Wet;Green
258;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
259;Arabica;Mexico;1500;Typica;Washed / Wet;Green
260;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
261;Arabica;Mexico;700;Typica;Washed / Wet;Green
262;Arabica;Colombia;1750;Caturra;Washed / Wet;Blue-Green
263;Arabica;Brazil;1000;Mundo Novo;Natural / Dry;Green
264;Arabica;Brazil;950;Mundo Novo;Natural / Dry;Green
265;Arabica;Brazil;1000;Mundo Novo;Semi-washed / Semi-pulped;Blue-Green
266;Arabica;Colombia;1799;Caturra;Washed / Wet;Green
267;Arabica;Brazil;905;Yellow Bourbon;Pulped natural / honey;Bluish-Green
268;Arabica;Brazil;1;Yellow Bourbon;Natural / Dry;Green
269;Arabica;Taiwan;700;Typica;Natural / Dry;Green
